,gene,validation,Biological_process,Cellular_component,Molecular_function
21703,YAR066W,Uncharacterized,biological_process,null,null
21704,YAR066W,Uncharacterized,null,cellular_component,molecular_function
21705,YAR066W,Uncharacterized,null,cellular_component,null
21706,YAR066W,Uncharacterized,null,null,molecular_function
21707,YAR066W,Uncharacterized,null,null,null
21708,YDR181C,Verified,null,nucle,histone
21709,YDR181C,Verified,null,nucle,null
21710,YDR181C,Verified,null,null,histone
21711,YDR181C,Verified,null,null,null
21712,YOL127W,Verified,ion,cytosol,null
21713,YOL127W,Verified,ion,ribosomal,null
21714,YOL127W,Verified,ion,null,null
21715,YOL127W,Verified,null,cytosol,null
21716,YOL127W,Verified,null,ribosomal,null
21717,YOL127W,Verified,null,null,null
21718,YNL224C,Verified,ion,null,molecular_function
21719,YNL224C,Verified,ion,null,null
21720,YNL224C,Verified,positive,null,molecular_function
21721,YNL224C,Verified,positive,null,null
21722,YNL224C,Verified,regulation,null,molecular_function
21723,YNL224C,Verified,regulation,null,null
21724,YNL224C,Verified,null,null,molecular_function
21725,YNL224C,Verified,null,null,null
21726,YAL020C,Verified,ion,cytoplasm,molecular_function
21727,YAL020C,Verified,ion,cytoplasm,null
21728,YAL020C,Verified,ion,null,molecular_function
21729,YAL020C,Verified,ion,null,null
21730,YAL020C,Verified,null,cytoplasm,molecular_function
21731,YAL020C,Verified,null,cytoplasm,null
21732,YAL020C,Verified,null,null,molecular_function
21733,YAL020C,Verified,null,null,null
21734,YBR275C,Verified,ion,nucle,null
21735,YBR275C,Verified,ion,null,null
21736,YBR275C,Verified,null,nucle,null
21737,YBR275C,Verified,null,null,null
21738,YBL013W,Verified,ion,mitochond,tRNA
21739,YBL013W,Verified,ion,mitochond,null
21740,YBL013W,Verified,ion,null,tRNA
21741,YBL013W,Verified,ion,null,null
21742,YBL013W,Verified,null,mitochond,tRNA
21743,YBL013W,Verified,null,mitochond,null
21744,YBL013W,Verified,null,null,tRNA
21745,YBL013W,Verified,null,null,null
21746,YOR187W,Verified,ion,mitochond,null
21747,YOR187W,Verified,ion,null,null
21748,YOR187W,Verified,null,mitochond,null
21749,YOR187W,Verified,null,null,null
21750,YGR238C,Verified,ion,null,molecular_function
21751,YGR238C,Verified,ion,null,null
21752,YGR238C,Verified,negative,null,molecular_function
21753,YGR238C,Verified,negative,null,null
21754,YGR238C,Verified,regulation,null,molecular_function
21755,YGR238C,Verified,regulation,null,null
21756,YGR238C,Verified,transport,null,molecular_function
21757,YGR238C,Verified,transport,null,null
21758,YGR238C,Verified,null,null,molecular_function
21759,YGR238C,Verified,null,null,null
21760,YGR064W,Dubious,null,cellular_component,molecular_function
21761,YGR064W,Dubious,null,cellular_component,null
21762,YGR064W,Dubious,null,null,molecular_function
21763,YGR064W,Dubious,null,null,null
21764,YMR217W,Verified,null,cellular_component,null
21765,YMR217W,Verified,null,null,null
21766,YGL035C,Verified,negative,nucle,RNA polymerase
21767,YGL035C,Verified,negative,nucle,transcription
21768,YGL035C,Verified,negative,nucle,null
21769,YGL035C,Verified,negative,cytoplasm,RNA polymerase
21770,YGL035C,Verified,negative,cytoplasm,transcription
21771,YGL035C,Verified,negative,cytoplasm,null
21772,YGL035C,Verified,negative,null,RNA polymerase
21773,YGL035C,Verified,negative,null,transcription
21774,YGL035C,Verified,negative,null,null
21775,YGL035C,Verified,regulation,nucle,RNA polymerase
21776,YGL035C,Verified,regulation,nucle,transcription
21777,YGL035C,Verified,regulation,nucle,null
21778,YGL035C,Verified,regulation,cytoplasm,RNA polymerase
21779,YGL035C,Verified,regulation,cytoplasm,transcription
21780,YGL035C,Verified,regulation,cytoplasm,null
21781,YGL035C,Verified,regulation,null,RNA polymerase
21782,YGL035C,Verified,regulation,null,transcription
21783,YGL035C,Verified,regulation,null,null
21784,YGL035C,Verified,ion,nucle,RNA polymerase
21785,YGL035C,Verified,ion,nucle,transcription
21786,YGL035C,Verified,ion,nucle,null
21787,YGL035C,Verified,ion,cytoplasm,RNA polymerase
21788,YGL035C,Verified,ion,cytoplasm,transcription
21789,YGL035C,Verified,ion,cytoplasm,null
21790,YGL035C,Verified,ion,null,RNA polymerase
21791,YGL035C,Verified,ion,null,transcription
21792,YGL035C,Verified,ion,null,null
21793,YGL035C,Verified,positive,nucle,RNA polymerase
21794,YGL035C,Verified,positive,nucle,transcription
21795,YGL035C,Verified,positive,nucle,null
21796,YGL035C,Verified,positive,cytoplasm,RNA polymerase
21797,YGL035C,Verified,positive,cytoplasm,transcription
21798,YGL035C,Verified,positive,cytoplasm,null
21799,YGL035C,Verified,positive,null,RNA polymerase
21800,YGL035C,Verified,positive,null,transcription
21801,YGL035C,Verified,positive,null,null
21802,YGL035C,Verified,starvation,nucle,RNA polymerase
21803,YGL035C,Verified,starvation,nucle,transcription
21804,YGL035C,Verified,starvation,nucle,null
21805,YGL035C,Verified,starvation,cytoplasm,RNA polymerase
21806,YGL035C,Verified,starvation,cytoplasm,transcription
21807,YGL035C,Verified,starvation,cytoplasm,null
21808,YGL035C,Verified,starvation,null,RNA polymerase
21809,YGL035C,Verified,starvation,null,transcription
21810,YGL035C,Verified,starvation,null,null
21811,YGL035C,Verified,null,nucle,RNA polymerase
21812,YGL035C,Verified,null,nucle,transcription
21813,YGL035C,Verified,null,nucle,null
21814,YGL035C,Verified,null,cytoplasm,RNA polymerase
21815,YGL035C,Verified,null,cytoplasm,transcription
21816,YGL035C,Verified,null,cytoplasm,null
21817,YGL035C,Verified,null,null,RNA polymerase
21818,YGL035C,Verified,null,null,transcription
21819,YGL035C,Verified,null,null,null
21820,YNL337W,Dubious,biological_process,cellular_component,molecular_function
21821,YNL337W,Dubious,biological_process,cellular_component,null
21822,YNL337W,Dubious,biological_process,null,molecular_function
21823,YNL337W,Dubious,biological_process,null,null
21824,YNL337W,Dubious,null,cellular_component,molecular_function
21825,YNL337W,Dubious,null,cellular_component,null
21826,YNL337W,Dubious,null,null,molecular_function
21827,YNL337W,Dubious,null,null,null
21828,YDR494W,Verified,ion,mitochond,null
21829,YDR494W,Verified,ion,ribosomal,null
21830,YDR494W,Verified,ion,null,null
21831,YDR494W,Verified,null,mitochond,null
21832,YDR494W,Verified,null,ribosomal,null
21833,YDR494W,Verified,null,null,null
21834,YGR246C,Verified,ion,null,RNA polymerase
21835,YGR246C,Verified,ion,null,transcription
21836,YGR246C,Verified,ion,null,null
21837,YGR246C,Verified,negative,null,RNA polymerase
21838,YGR246C,Verified,negative,null,transcription
21839,YGR246C,Verified,negative,null,null
21840,YGR246C,Verified,regulation,null,RNA polymerase
21841,YGR246C,Verified,regulation,null,transcription
21842,YGR246C,Verified,regulation,null,null
21843,YGR246C,Verified,protein,null,RNA polymerase
21844,YGR246C,Verified,protein,null,transcription
21845,YGR246C,Verified,protein,null,null
21846,YGR246C,Verified,null,null,RNA polymerase
21847,YGR246C,Verified,null,null,transcription
21848,YGR246C,Verified,null,null,null
21849,YEL076C,Uncharacterized,biological_process,cellular_component,molecular_function
21850,YEL076C,Uncharacterized,biological_process,cellular_component,null
21851,YEL076C,Uncharacterized,biological_process,null,molecular_function
21852,YEL076C,Uncharacterized,biological_process,null,null
21853,YEL076C,Uncharacterized,null,cellular_component,molecular_function
21854,YEL076C,Uncharacterized,null,cellular_component,null
21855,YEL076C,Uncharacterized,null,null,molecular_function
21856,YEL076C,Uncharacterized,null,null,null
21857,YPL242C,Verified,ion,null,null
21858,YPL242C,Verified,null,null,null
21859,YPR027C,Uncharacterized,biological_process,null,molecular_function
21860,YPR027C,Uncharacterized,biological_process,null,null
21861,YPR027C,Uncharacterized,null,null,molecular_function
21862,YPR027C,Uncharacterized,null,null,null
21863,YDR206W,Verified,catabolic process,cytoplasm,molecular_function
21864,YDR206W,Verified,catabolic process,cytoplasm,null
21865,YDR206W,Verified,catabolic process,null,molecular_function
21866,YDR206W,Verified,catabolic process,null,null
21867,YDR206W,Verified,ion,cytoplasm,molecular_function
21868,YDR206W,Verified,ion,cytoplasm,null
21869,YDR206W,Verified,ion,null,molecular_function
21870,YDR206W,Verified,ion,null,null
21871,YDR206W,Verified,negative,cytoplasm,molecular_function
21872,YDR206W,Verified,negative,cytoplasm,null
21873,YDR206W,Verified,negative,null,molecular_function
21874,YDR206W,Verified,negative,null,null
21875,YDR206W,Verified,regulation,cytoplasm,molecular_function
21876,YDR206W,Verified,regulation,cytoplasm,null
21877,YDR206W,Verified,regulation,null,molecular_function
21878,YDR206W,Verified,regulation,null,null
21879,YDR206W,Verified,null,cytoplasm,molecular_function
21880,YDR206W,Verified,null,cytoplasm,null
21881,YDR206W,Verified,null,null,molecular_function
21882,YDR206W,Verified,null,null,null
21883,YDL024C,Verified,ion,null,null
21884,YDL024C,Verified,null,null,null
21885,YMR239C,Verified,catabolic process,nucle,null
21886,YMR239C,Verified,catabolic process,nucleolus,null
21887,YMR239C,Verified,catabolic process,null,null
21888,YMR239C,Verified,ion,nucle,null
21889,YMR239C,Verified,ion,nucleolus,null
21890,YMR239C,Verified,ion,null,null
21891,YMR239C,Verified,regulation,nucle,null
21892,YMR239C,Verified,regulation,nucleolus,null
21893,YMR239C,Verified,regulation,null,null
21894,YMR239C,Verified,null,nucle,null
21895,YMR239C,Verified,null,nucleolus,null
21896,YMR239C,Verified,null,null,null
21897,YLR028C,Verified,ion,cytosol,hydrolase
21898,YLR028C,Verified,ion,cytosol,null
21899,YLR028C,Verified,ion,null,hydrolase
21900,YLR028C,Verified,ion,null,null
21901,YLR028C,Verified,null,cytosol,hydrolase
21902,YLR028C,Verified,null,cytosol,null
21903,YLR028C,Verified,null,null,hydrolase
21904,YLR028C,Verified,null,null,null
21905,YBR081C,Verified,ion,null,null
21906,YBR081C,Verified,protein,null,null
21907,YBR081C,Verified,histone,null,null
21908,YBR081C,Verified,null,null,null
21909,YDR028C,Verified,negative,cytoplasm,null
21910,YDR028C,Verified,negative,null,null
21911,YDR028C,Verified,regulation,cytoplasm,null
21912,YDR028C,Verified,regulation,null,null
21913,YDR028C,Verified,ion,cytoplasm,null
21914,YDR028C,Verified,ion,null,null
21915,YDR028C,Verified,metabolic process,cytoplasm,null
21916,YDR028C,Verified,metabolic process,null,null
21917,YDR028C,Verified,protein,cytoplasm,null
21918,YDR028C,Verified,protein,null,null
21919,YDR028C,Verified,catabolic process,cytoplasm,null
21920,YDR028C,Verified,catabolic process,null,null
21921,YDR028C,Verified,starvation,cytoplasm,null
21922,YDR028C,Verified,starvation,null,null
21923,YDR028C,Verified,null,cytoplasm,null
21924,YDR028C,Verified,null,null,null
21925,YHR105W,Verified,biological_process,null,null
21926,YHR105W,Verified,null,null,null
21927,YIR006C,Verified,ion,nucle,null
21928,YIR006C,Verified,ion,cytoplasm,null
21929,YIR006C,Verified,ion,null,null
21930,YIR006C,Verified,null,nucle,null
21931,YIR006C,Verified,null,cytoplasm,null
21932,YIR006C,Verified,null,null,null
21933,YDL079C,Verified,protein,cellular_component,kinase
21934,YDL079C,Verified,protein,cellular_component,null
21935,YDL079C,Verified,protein,null,kinase
21936,YDL079C,Verified,protein,null,null
21937,YDL079C,Verified,ion,cellular_component,kinase
21938,YDL079C,Verified,ion,cellular_component,null
21939,YDL079C,Verified,ion,null,kinase
21940,YDL079C,Verified,ion,null,null
21941,YDL079C,Verified,regulation,cellular_component,kinase
21942,YDL079C,Verified,regulation,cellular_component,null
21943,YDL079C,Verified,regulation,null,kinase
21944,YDL079C,Verified,regulation,null,null
21945,YDL079C,Verified,catabolic process,cellular_component,kinase
21946,YDL079C,Verified,catabolic process,cellular_component,null
21947,YDL079C,Verified,catabolic process,null,kinase
21948,YDL079C,Verified,catabolic process,null,null
21949,YDL079C,Verified,null,cellular_component,kinase
21950,YDL079C,Verified,null,cellular_component,null
21951,YDL079C,Verified,null,null,kinase
21952,YDL079C,Verified,null,null,null
21953,YDL002C,Verified,ion,null,null
21954,YDL002C,Verified,repair,null,null
21955,YDL002C,Verified,null,null,null
21956,SCER_lnc0044,null,null,null,null
21957,YNL180C,Verified,protein,membrane,null
21958,YNL180C,Verified,protein,null,null
21959,YNL180C,Verified,ion,membrane,null
21960,YNL180C,Verified,ion,null,null
21961,YNL180C,Verified,null,membrane,null
21962,YNL180C,Verified,null,null,null
21963,YDR162C,Verified,ion,cytoplasm,null
21964,YDR162C,Verified,ion,null,null
21965,YDR162C,Verified,negative,cytoplasm,null
21966,YDR162C,Verified,negative,null,null
21967,YDR162C,Verified,regulation,cytoplasm,null
21968,YDR162C,Verified,regulation,null,null
21969,YDR162C,Verified,protein,cytoplasm,null
21970,YDR162C,Verified,protein,null,null
21971,YDR162C,Verified,null,cytoplasm,null
21972,YDR162C,Verified,null,null,null
21973,SCER_lnc0043,null,null,null,null
21974,YJL101C,Verified,ion,null,null
21975,YJL101C,Verified,null,null,null
21976,YBL069W,Verified,protein,membrane,molecular_function
21977,YBL069W,Verified,protein,membrane,null
21978,YBL069W,Verified,protein,null,molecular_function
21979,YBL069W,Verified,protein,null,null
21980,YBL069W,Verified,targeting,membrane,molecular_function
21981,YBL069W,Verified,targeting,membrane,null
21982,YBL069W,Verified,targeting,null,molecular_function
21983,YBL069W,Verified,targeting,null,null
21984,YBL069W,Verified,transport,membrane,molecular_function
21985,YBL069W,Verified,transport,membrane,null
21986,YBL069W,Verified,transport,null,molecular_function
21987,YBL069W,Verified,transport,null,null
21988,YBL069W,Verified,null,membrane,molecular_function
21989,YBL069W,Verified,null,membrane,null
21990,YBL069W,Verified,null,null,molecular_function
21991,YBL069W,Verified,null,null,null
21992,YNL040W,Verified,biological_process,null,null
21993,YNL040W,Verified,null,null,null
21994,YJL049W,Uncharacterized,biological_process,cellular_component,molecular_function
21995,YJL049W,Uncharacterized,biological_process,cellular_component,null
21996,YJL049W,Uncharacterized,biological_process,null,molecular_function
21997,YJL049W,Uncharacterized,biological_process,null,null
21998,YJL049W,Uncharacterized,null,cellular_component,molecular_function
21999,YJL049W,Uncharacterized,null,cellular_component,null
22000,YJL049W,Uncharacterized,null,null,molecular_function
22001,YJL049W,Uncharacterized,null,null,null
22002,YOR129C,Verified,ion,nucle,molecular_function
22003,YOR129C,Verified,ion,nucle,null
22004,YOR129C,Verified,ion,membrane,molecular_function
22005,YOR129C,Verified,ion,membrane,null
22006,YOR129C,Verified,ion,null,molecular_function
22007,YOR129C,Verified,ion,null,null
22008,YOR129C,Verified,protein,nucle,molecular_function
22009,YOR129C,Verified,protein,nucle,null
22010,YOR129C,Verified,protein,membrane,molecular_function
22011,YOR129C,Verified,protein,membrane,null
22012,YOR129C,Verified,protein,null,molecular_function
22013,YOR129C,Verified,protein,null,null
22014,YOR129C,Verified,null,nucle,molecular_function
22015,YOR129C,Verified,null,nucle,null
22016,YOR129C,Verified,null,membrane,molecular_function
22017,YOR129C,Verified,null,membrane,null
22018,YOR129C,Verified,null,null,molecular_function
22019,YOR129C,Verified,null,null,null
22020,YMR069W,Verified,histone,null,histone
22021,YMR069W,Verified,histone,null,null
22022,YMR069W,Verified,ion,null,histone
22023,YMR069W,Verified,ion,null,null
22024,YMR069W,Verified,regulation,null,histone
22025,YMR069W,Verified,regulation,null,null
22026,YMR069W,Verified,null,null,histone
22027,YMR069W,Verified,null,null,null
22028,SCER_lnc0107,null,null,null,null
22029,YBR010W,Verified,ion,nucle,null
22030,YBR010W,Verified,ion,null,null
22031,YBR010W,Verified,repair,nucle,null
22032,YBR010W,Verified,repair,null,null
22033,YBR010W,Verified,null,nucle,null
22034,YBR010W,Verified,null,null,null
22035,YDL104C,Verified,ion,null,molecular_function
22036,YDL104C,Verified,ion,null,null
22037,YDL104C,Verified,null,null,molecular_function
22038,YDL104C,Verified,null,null,null
22039,YKL119C,Verified,ion,membrane,molecular_function
22040,YKL119C,Verified,ion,membrane,null
22041,YKL119C,Verified,ion,endoplasm,molecular_function
22042,YKL119C,Verified,ion,endoplasm,null
22043,YKL119C,Verified,ion,null,molecular_function
22044,YKL119C,Verified,ion,null,null
22045,YKL119C,Verified,transport,membrane,molecular_function
22046,YKL119C,Verified,transport,membrane,null
22047,YKL119C,Verified,transport,endoplasm,molecular_function
22048,YKL119C,Verified,transport,endoplasm,null
22049,YKL119C,Verified,transport,null,molecular_function
22050,YKL119C,Verified,transport,null,null
22051,YKL119C,Verified,null,membrane,molecular_function
22052,YKL119C,Verified,null,membrane,null
22053,YKL119C,Verified,null,endoplasm,molecular_function
22054,YKL119C,Verified,null,endoplasm,null
22055,YKL119C,Verified,null,null,molecular_function
22056,YKL119C,Verified,null,null,null
22057,YPL016W,Verified,ion,nucle,transcription
22058,YPL016W,Verified,ion,nucle,RNA polymerase
22059,YPL016W,Verified,ion,nucle,null
22060,YPL016W,Verified,ion,null,transcription
22061,YPL016W,Verified,ion,null,RNA polymerase
22062,YPL016W,Verified,ion,null,null
22063,YPL016W,Verified,catabolic process,nucle,transcription
22064,YPL016W,Verified,catabolic process,nucle,RNA polymerase
22065,YPL016W,Verified,catabolic process,nucle,null
22066,YPL016W,Verified,catabolic process,null,transcription
22067,YPL016W,Verified,catabolic process,null,RNA polymerase
22068,YPL016W,Verified,catabolic process,null,null
22069,YPL016W,Verified,positive,nucle,transcription
22070,YPL016W,Verified,positive,nucle,RNA polymerase
22071,YPL016W,Verified,positive,nucle,null
22072,YPL016W,Verified,positive,null,transcription
22073,YPL016W,Verified,positive,null,RNA polymerase
22074,YPL016W,Verified,positive,null,null
22075,YPL016W,Verified,regulation,nucle,transcription
22076,YPL016W,Verified,regulation,nucle,RNA polymerase
22077,YPL016W,Verified,regulation,nucle,null
22078,YPL016W,Verified,regulation,null,transcription
22079,YPL016W,Verified,regulation,null,RNA polymerase
22080,YPL016W,Verified,regulation,null,null
22081,YPL016W,Verified,starvation,nucle,transcription
22082,YPL016W,Verified,starvation,nucle,RNA polymerase
22083,YPL016W,Verified,starvation,nucle,null
22084,YPL016W,Verified,starvation,null,transcription
22085,YPL016W,Verified,starvation,null,RNA polymerase
22086,YPL016W,Verified,starvation,null,null
22087,YPL016W,Verified,null,nucle,transcription
22088,YPL016W,Verified,null,nucle,RNA polymerase
22089,YPL016W,Verified,null,nucle,null
22090,YPL016W,Verified,null,null,transcription
22091,YPL016W,Verified,null,null,RNA polymerase
22092,YPL016W,Verified,null,null,null
22093,YHR042W,Verified,histone,nucle,ADP
22094,YHR042W,Verified,histone,nucle,null
22095,YHR042W,Verified,histone,membrane,ADP
22096,YHR042W,Verified,histone,membrane,null
22097,YHR042W,Verified,histone,mitochond,ADP
22098,YHR042W,Verified,histone,mitochond,null
22099,YHR042W,Verified,histone,null,ADP
22100,YHR042W,Verified,histone,null,null
22101,YHR042W,Verified,ion,nucle,ADP
22102,YHR042W,Verified,ion,nucle,null
22103,YHR042W,Verified,ion,membrane,ADP
22104,YHR042W,Verified,ion,membrane,null
22105,YHR042W,Verified,ion,mitochond,ADP
22106,YHR042W,Verified,ion,mitochond,null
22107,YHR042W,Verified,ion,null,ADP
22108,YHR042W,Verified,ion,null,null
22109,YHR042W,Verified,protein,nucle,ADP
22110,YHR042W,Verified,protein,nucle,null
22111,YHR042W,Verified,protein,membrane,ADP
22112,YHR042W,Verified,protein,membrane,null
22113,YHR042W,Verified,protein,mitochond,ADP
22114,YHR042W,Verified,protein,mitochond,null
22115,YHR042W,Verified,protein,null,ADP
22116,YHR042W,Verified,protein,null,null
22117,YHR042W,Verified,metabolic process,nucle,ADP
22118,YHR042W,Verified,metabolic process,nucle,null
22119,YHR042W,Verified,metabolic process,membrane,ADP
22120,YHR042W,Verified,metabolic process,membrane,null
22121,YHR042W,Verified,metabolic process,mitochond,ADP
22122,YHR042W,Verified,metabolic process,mitochond,null
22123,YHR042W,Verified,metabolic process,null,ADP
22124,YHR042W,Verified,metabolic process,null,null
22125,YHR042W,Verified,positive,nucle,ADP
22126,YHR042W,Verified,positive,nucle,null
22127,YHR042W,Verified,positive,membrane,ADP
22128,YHR042W,Verified,positive,membrane,null
22129,YHR042W,Verified,positive,mitochond,ADP
22130,YHR042W,Verified,positive,mitochond,null
22131,YHR042W,Verified,positive,null,ADP
22132,YHR042W,Verified,positive,null,null
22133,YHR042W,Verified,regulation,nucle,ADP
22134,YHR042W,Verified,regulation,nucle,null
22135,YHR042W,Verified,regulation,membrane,ADP
22136,YHR042W,Verified,regulation,membrane,null
22137,YHR042W,Verified,regulation,mitochond,ADP
22138,YHR042W,Verified,regulation,mitochond,null
22139,YHR042W,Verified,regulation,null,ADP
22140,YHR042W,Verified,regulation,null,null
22141,YHR042W,Verified,null,nucle,ADP
22142,YHR042W,Verified,null,nucle,null
22143,YHR042W,Verified,null,membrane,ADP
22144,YHR042W,Verified,null,membrane,null
22145,YHR042W,Verified,null,mitochond,ADP
22146,YHR042W,Verified,null,mitochond,null
22147,YHR042W,Verified,null,null,ADP
22148,YHR042W,Verified,null,null,null
22149,YLR086W,Verified,ion,nucle,ATP
22150,YLR086W,Verified,ion,nucle,null
22151,YLR086W,Verified,ion,null,ATP
22152,YLR086W,Verified,ion,null,null
22153,YLR086W,Verified,null,nucle,ATP
22154,YLR086W,Verified,null,nucle,null
22155,YLR086W,Verified,null,null,ATP
22156,YLR086W,Verified,null,null,null
22157,YER054C,Verified,metabolic process,null,null
22158,YER054C,Verified,protein,null,null
22159,YER054C,Verified,ion,null,null
22160,YER054C,Verified,null,null,null
22161,YKR015C,Uncharacterized,biological_process,cellular_component,molecular_function
22162,YKR015C,Uncharacterized,biological_process,cellular_component,null
22163,YKR015C,Uncharacterized,biological_process,null,molecular_function
22164,YKR015C,Uncharacterized,biological_process,null,null
22165,YKR015C,Uncharacterized,null,cellular_component,molecular_function
22166,YKR015C,Uncharacterized,null,cellular_component,null
22167,YKR015C,Uncharacterized,null,null,molecular_function
22168,YKR015C,Uncharacterized,null,null,null
22169,YML030W,Verified,null,mitochond,molecular_function
22170,YML030W,Verified,null,mitochond,null
22171,YML030W,Verified,null,membrane,molecular_function
22172,YML030W,Verified,null,membrane,null
22173,YML030W,Verified,null,null,molecular_function
22174,YML030W,Verified,null,null,null
22175,YML065W,Verified,ion,nucle,ATP
22176,YML065W,Verified,ion,nucle,null
22177,YML065W,Verified,ion,null,ATP
22178,YML065W,Verified,ion,null,null
22179,YML065W,Verified,null,nucle,ATP
22180,YML065W,Verified,null,nucle,null
22181,YML065W,Verified,null,null,ATP
22182,YML065W,Verified,null,null,null
22183,YMR082C,Uncharacterized,biological_process,cellular_component,molecular_function
22184,YMR082C,Uncharacterized,biological_process,cellular_component,null
22185,YMR082C,Uncharacterized,biological_process,null,molecular_function
22186,YMR082C,Uncharacterized,biological_process,null,null
22187,YMR082C,Uncharacterized,null,cellular_component,molecular_function
22188,YMR082C,Uncharacterized,null,cellular_component,null
22189,YMR082C,Uncharacterized,null,null,molecular_function
22190,YMR082C,Uncharacterized,null,null,null
22191,YER001W,Verified,protein,null,null
22192,YER001W,Verified,ion,null,null
22193,YER001W,Verified,null,null,null
22194,YGL023C,Verified,biological_process,null,molecular_function
22195,YGL023C,Verified,biological_process,null,null
22196,YGL023C,Verified,null,null,molecular_function
22197,YGL023C,Verified,null,null,null
22198,YPR009W,Verified,positive,nucle,transcription
22199,YPR009W,Verified,positive,nucle,RNA polymerase
22200,YPR009W,Verified,positive,nucle,null
22201,YPR009W,Verified,positive,null,transcription
22202,YPR009W,Verified,positive,null,RNA polymerase
22203,YPR009W,Verified,positive,null,null
22204,YPR009W,Verified,regulation,nucle,transcription
22205,YPR009W,Verified,regulation,nucle,RNA polymerase
22206,YPR009W,Verified,regulation,nucle,null
22207,YPR009W,Verified,regulation,null,transcription
22208,YPR009W,Verified,regulation,null,RNA polymerase
22209,YPR009W,Verified,regulation,null,null
22210,YPR009W,Verified,ion,nucle,transcription
22211,YPR009W,Verified,ion,nucle,RNA polymerase
22212,YPR009W,Verified,ion,nucle,null
22213,YPR009W,Verified,ion,null,transcription
22214,YPR009W,Verified,ion,null,RNA polymerase
22215,YPR009W,Verified,ion,null,null
22216,YPR009W,Verified,negative,nucle,transcription
22217,YPR009W,Verified,negative,nucle,RNA polymerase
22218,YPR009W,Verified,negative,nucle,null
22219,YPR009W,Verified,negative,null,transcription
22220,YPR009W,Verified,negative,null,RNA polymerase
22221,YPR009W,Verified,negative,null,null
22222,YPR009W,Verified,starvation,nucle,transcription
22223,YPR009W,Verified,starvation,nucle,RNA polymerase
22224,YPR009W,Verified,starvation,nucle,null
22225,YPR009W,Verified,starvation,null,transcription
22226,YPR009W,Verified,starvation,null,RNA polymerase
22227,YPR009W,Verified,starvation,null,null
22228,YPR009W,Verified,null,nucle,transcription
22229,YPR009W,Verified,null,nucle,RNA polymerase
22230,YPR009W,Verified,null,nucle,null
22231,YPR009W,Verified,null,null,transcription
22232,YPR009W,Verified,null,null,RNA polymerase
22233,YPR009W,Verified,null,null,null
22234,YMR115W,Verified,protein,membrane,null
22235,YMR115W,Verified,protein,mitochond,null
22236,YMR115W,Verified,protein,null,null
22237,YMR115W,Verified,catabolic process,membrane,null
22238,YMR115W,Verified,catabolic process,mitochond,null
22239,YMR115W,Verified,catabolic process,null,null
22240,YMR115W,Verified,null,membrane,null
22241,YMR115W,Verified,null,mitochond,null
22242,YMR115W,Verified,null,null,null
22243,YDL126C,Verified,ion,nucle,ATP
22244,YDL126C,Verified,ion,nucle,null
22245,YDL126C,Verified,ion,membrane,ATP
22246,YDL126C,Verified,ion,membrane,null
22247,YDL126C,Verified,ion,endoplasm,ATP
22248,YDL126C,Verified,ion,endoplasm,null
22249,YDL126C,Verified,ion,cytosol,ATP
22250,YDL126C,Verified,ion,cytosol,null
22251,YDL126C,Verified,ion,mitochond,ATP
22252,YDL126C,Verified,ion,mitochond,null
22253,YDL126C,Verified,ion,ribosomal,ATP
22254,YDL126C,Verified,ion,ribosomal,null
22255,YDL126C,Verified,protein,nucle,ATP
22256,YDL126C,Verified,protein,nucle,null
22257,YDL126C,Verified,protein,membrane,ATP
22258,YDL126C,Verified,protein,membrane,null
22259,YDL126C,Verified,protein,endoplasm,ATP
22260,YDL126C,Verified,protein,endoplasm,null
22261,YDL126C,Verified,protein,cytosol,ATP
22262,YDL126C,Verified,protein,cytosol,null
22263,YDL126C,Verified,protein,mitochond,ATP
22264,YDL126C,Verified,protein,mitochond,null
22265,YDL126C,Verified,protein,ribosomal,ATP
22266,YDL126C,Verified,protein,ribosomal,null
22267,YDL126C,Verified,catabolic process,nucle,ATP
22268,YDL126C,Verified,catabolic process,nucle,null
22269,YDL126C,Verified,catabolic process,membrane,ATP
22270,YDL126C,Verified,catabolic process,membrane,null
22271,YDL126C,Verified,catabolic process,endoplasm,ATP
22272,YDL126C,Verified,catabolic process,endoplasm,null
22273,YDL126C,Verified,catabolic process,cytosol,ATP
22274,YDL126C,Verified,catabolic process,cytosol,null
22275,YDL126C,Verified,catabolic process,mitochond,ATP
22276,YDL126C,Verified,catabolic process,mitochond,null
22277,YDL126C,Verified,catabolic process,ribosomal,ATP
22278,YDL126C,Verified,catabolic process,ribosomal,null
22279,YDL126C,Verified,transport,nucle,ATP
22280,YDL126C,Verified,transport,nucle,null
22281,YDL126C,Verified,transport,membrane,ATP
22282,YDL126C,Verified,transport,membrane,null
22283,YDL126C,Verified,transport,endoplasm,ATP
22284,YDL126C,Verified,transport,endoplasm,null
22285,YDL126C,Verified,transport,cytosol,ATP
22286,YDL126C,Verified,transport,cytosol,null
22287,YDL126C,Verified,transport,mitochond,ATP
22288,YDL126C,Verified,transport,mitochond,null
22289,YDL126C,Verified,transport,ribosomal,ATP
22290,YDL126C,Verified,transport,ribosomal,null
22291,YDL126C,Verified,negative,nucle,ATP
22292,YDL126C,Verified,negative,nucle,null
22293,YDL126C,Verified,negative,membrane,ATP
22294,YDL126C,Verified,negative,membrane,null
22295,YDL126C,Verified,negative,endoplasm,ATP
